timestamps,TP9,AF7,AF8,TP10,Right AUX
1729781595.887,73.730,-20.508,-122.070,22.949,0.000
1729781595.891,26.855,-23.438,-244.141,-49.316,0.000
1729781595.895,127.441,-19.043,-252.441,3.418,0.000
1729781595.899,230.469,-19.531,-7.324,102.051,0.000
1729781595.902,196.777,-22.461,123.047,123.047,0.000
1729781595.906,61.523,-22.949,-90.820,29.785,0.000
1729781595.910,-10.742,-27.832,-394.043,-68.359,0.000
1729781595.914,76.172,-30.762,-181.152,-59.570,0.000
1729781595.918,195.312,-26.855,18.066,53.223,0.000
1729781595.922,198.242,-24.414,-182.617,108.887,0.000
1729781595.926,87.402,-28.809,-204.590,20.020,0.000
1729781595.930,14.648,-30.273,-130.371,-84.473,0.000
1729781595.934,73.242,-32.715,-39.062,-69.824,0.000
1729781595.938,176.270,-32.227,-64.453,39.551,0.000
1729781595.941,193.359,-23.926,-127.441,101.562,0.000
1729781595.945,95.215,-29.785,28.320,24.902,0.000
1729781595.949,7.324,-38.086,-5.371,-99.609,0.000
1729781595.953,49.316,-37.598,-247.070,-92.285,0.000
1729781595.957,159.180,-34.668,-164.062,23.926,0.000
1729781595.961,199.219,-41.504,85.938,75.684,0.000
1729781595.965,106.934,-46.875,46.875,11.230,0.000
1729781595.969,-1.953,-46.387,-111.816,-85.449,0.000
1729781595.973,37.598,-47.363,-221.680,-88.867,0.000
1729781595.977,148.926,-45.898,-183.105,0.488,0.000
1729781595.981,185.059,-49.805,-132.324,66.406,0.000
1729781595.984,93.262,-53.223,-230.957,32.227,0.000
1729781595.988,-8.301,-50.781,-80.566,-82.520,0.000
1729781595.992,8.789,-53.711,57.129,-128.906,0.000
1729781595.996,121.094,-54.688,16.602,-35.645,0.000
1729781596.000,179.199,-57.617,-186.035,72.754,0.000
1729781596.004,100.586,-54.688,-175.781,45.410,0.000
1729781596.008,6.348,-48.340,61.523,-65.430,0.000
1729781596.012,4.395,-59.082,-29.785,-99.609,0.000
1729781596.016,98.145,-58.105,-317.871,-32.715,0.000
1729781596.020,168.945,-54.199,-107.422,32.227,0.000
1729781596.024,103.027,-65.430,104.492,20.996,0.000
1729781596.027,-8.789,-65.430,-44.922,-75.684,0.000
1729781596.031,-45.898,-62.500,-181.152,-140.137,0.000
1729781596.035,41.504,-61.035,-168.457,-84.961,0.000
1729781596.039,132.812,-62.012,13.184,10.254,0.000
1729781596.043,78.613,-61.035,1.953,17.578,0.000
1729781596.047,-37.598,-54.688,-223.633,-74.707,0.000
1729781596.051,-68.359,-55.176,-213.379,-146.484,0.000
1729781596.055,30.273,-49.805,-2.441,-96.191,0.000
1729781596.059,131.348,-45.410,-99.121,20.996,0.000
1729781596.063,102.051,-46.875,-163.086,50.781,0.000
1729781596.067,-5.371,-39.551,68.848,-34.180,0.000
1729781596.070,-57.617,-38.574,97.656,-118.652,0.000
1729781596.074,12.695,-46.875,-96.680,-91.797,0.000
1729781596.078,123.535,-47.363,-136.719,20.508,0.000
1729781596.082,121.094,-42.480,84.961,56.152,0.000
1729781596.086,0.000,-46.875,76.172,-20.996,0.000
1729781596.090,-74.219,-54.199,-120.117,-102.539,0.000
1729781596.094,-3.906,-57.617,-209.473,-96.680,0.000
1729781596.098,119.629,-50.781,-115.234,0.488,0.000
1729781596.102,129.395,-49.805,-7.812,61.523,0.000
1729781596.106,11.230,-56.152,-275.879,16.602,0.000
1729781596.109,-67.383,-55.176,-72.266,-97.168,0.000
1729781596.113,-17.578,-52.734,176.270,-109.375,0.000
1729781596.117,97.656,-45.898,33.691,1.465,0.000
1729781596.121,125.488,-45.410,23.926,67.383,0.000
1729781596.125,28.320,-48.340,52.246,11.230,0.000
1729781596.129,-56.641,-39.062,73.730,-83.008,0.000
1729781596.133,-24.414,-44.434,-38.086,-93.750,0.000
1729781596.137,87.402,-51.758,-124.512,-13.184,0.000
1729781596.141,126.953,-45.898,-123.535,65.918,0.000
1729781596.145,42.969,-46.875,-149.414,33.691,0.000
1729781596.149,-63.965,-50.781,-246.582,-69.336,0.000
1729781596.152,-57.129,-49.805,-194.824,-107.422,0.000
1729781596.156,67.871,-45.410,104.492,-31.738,0.000
1729781596.160,131.348,-46.875,112.793,62.988,0.000
1729781596.164,49.805,-50.781,-15.137,40.527,0.000
1729781596.168,-64.453,-50.293,4.395,-74.707,0.000
1729781596.172,-68.848,-51.270,-31.738,-121.094,0.000
1729781596.176,40.039,-49.316,20.508,-36.621,0.000
1729781596.180,113.770,-49.316,18.066,67.871,0.000
1729781596.184,55.664,-47.363,58.105,54.688,0.000
1729781596.188,-67.871,-47.363,27.344,-54.688,0.000
1729781596.192,-94.238,-55.664,-182.129,-118.164,0.000
1729781596.195,-4.883,-61.035,-291.992,-43.945,0.000
1729781596.199,85.938,-52.246,24.414,59.082,0.000
1729781596.203,61.523,-49.316,92.285,64.453,0.000
1729781596.207,-61.523,-51.270,-74.219,-39.551,0.000
1729781596.211,-103.516,-52.734,-28.320,-125.488,0.000
1729781596.215,0.000,-54.199,0.000,-75.684,0.000
1729781596.219,0.000,-51.758,0.000,40.039,0.000
1729781596.223,0.000,-52.734,0.000,75.684,0.000
1729781596.227,0.000,-50.781,0.000,-19.531,0.000
1729781596.231,0.000,-44.922,0.000,-114.746,0.000
1729781596.234,0.000,-43.945,0.000,-86.914,0.000
1729781596.238,0.000,-46.387,0.000,30.273,0.000
1729781596.242,0.000,-45.898,0.000,77.148,0.000
1729781596.246,0.000,-50.293,0.000,-18.555,0.000
1729781596.250,0.000,-52.246,0.000,-108.398,0.000
1729781596.254,0.000,-48.828,0.000,-89.355,0.000
1729781596.258,0.000,-48.340,0.000,13.184,0.000
1729781596.262,79.590,-51.270,31.250,76.172,0.000
1729781596.266,-27.832,-51.758,-17.090,8.789,0.000
1729781596.270,-106.934,-53.711,-119.141,-97.656,0.000
1729781596.274,-45.898,-54.688,19.043,-97.656,0.000
1729781596.277,65.430,-57.617,128.906,3.418,0.000
1729781596.281,73.730,-57.617,54.199,84.473,0.000
1729781596.285,-37.598,-56.641,-159.668,36.133,0.000
1729781596.289,-122.070,-51.758,-10.254,-83.984,0.000
1729781596.293,-79.102,-58.594,149.414,-112.793,0.000
1729781596.297,35.156,-62.500,74.219,-22.949,0.000
1729781596.301,74.219,-56.641,52.734,63.965,0.000
1729781596.305,-27.832,-56.152,48.340,29.785,0.000
1729781596.309,-135.254,-59.570,74.707,-82.520,0.000
1729781596.313,-114.258,-54.688,62.988,-115.234,0.000
1729781596.317,0.488,-53.711,38.086,-18.066,0.000
1729781596.320,77.148,-52.246,122.070,76.660,0.000
1729781596.324,-2.441,-50.781,151.855,41.992,0.000
1729781596.328,-129.395,-58.105,-48.340,-66.406,0.000
1729781596.332,-120.605,-56.152,-83.008,-116.211,0.000
1729781596.336,1.465,-58.105,178.223,-55.176,0.000
1729781596.340,72.266,-61.523,187.500,46.875,0.000
1729781596.344,0.000,-54.688,48.340,45.898,0.000
1729781596.348,-111.328,-49.805,62.500,-62.988,0.000
1729781596.352,-123.535,-52.734,144.043,-118.652,0.000
1729781596.356,-17.090,-48.828,0.000,-42.969,0.000
1729781596.360,71.777,-41.504,0.000,59.570,0.000
1729781596.363,28.809,-43.457,0.000,63.477,0.000
1729781596.367,-90.332,-52.246,0.000,-27.344,0.000
1729781596.371,-120.117,-55.664,0.000,-98.145,0.000
1729781596.375,-25.879,-52.246,0.000,-48.340,0.000
1729781596.379,63.477,-47.363,0.000,56.641,0.000
1729781596.383,39.551,-42.480,0.000,76.172,0.000
1729781596.387,-90.820,-48.340,0.000,-20.508,0.000
1729781596.391,-153.320,-50.293,0.000,-94.727,0.000
