timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0,Marker1,Marker2,Marker3
1741366297.533,-992.676,-537.109,-633.789,-993.652,0.000,1,0,0,0
1741366297.537,-983.398,-510.742,-662.109,-999.512,0.000,0,0,0,0
1741366297.540,-954.590,-498.535,-685.547,-992.188,0.000,0,0,0,0
1741366297.544,-967.285,-544.922,-626.953,-1000.000,0.000,0,0,0,0
1741366297.548,-978.027,-597.656,-598.145,-725.586,0.000,0,0,0,0
1741366297.552,-974.609,-608.398,-615.234,-748.047,0.000,0,0,0,0
1741366297.556,-999.023,-604.492,-604.980,-1000.000,0.000,0,0,0,0
1741366297.560,-999.512,-614.258,-586.914,-949.219,0.000,0,0,0,0
1741366297.564,-1000.000,-665.527,-547.363,-1000.000,0.000,0,0,0,0
1741366297.568,-991.211,-720.215,-584.473,6.836,0.000,0,0,0,0
1741366297.572,-967.285,-748.535,-611.328,135.254,0.000,0,0,0,0
1741366297.576,-986.816,-759.277,-584.961,-1000.000,0.000,0,0,0,0
